request_id,success,status_code,error,latency_ms,first_frame_latency_ms,response_bytes,start_time,end_time,relative_end_second,body_template_index,body_template_label,debug_info
1,False,,FirstFrameTimeout: 15.0 seconds,15015.848999843001,0,0,2026-06-25 21:42:19.698,2026-06-25 21:42:34.714,15,1,Body #1,"target=47.94.77.104:8097, method_path=/com.tcl.xr.service.AskAiService/chat, request=com.tcl.xr.message.AskAiRequest, response=com.tcl.xr.message.AskAiResponse, server_streaming=True, payload_bytes=542"
2,False,,FirstFrameTimeout: 15.0 seconds,15021.46580000408,0,0,2026-06-25 21:42:20.810,2026-06-25 21:42:35.831,16,2,Body #2,"target=47.94.77.104:8097, method_path=/com.tcl.xr.service.AskAiService/chat, request=com.tcl.xr.message.AskAiRequest, response=com.tcl.xr.message.AskAiResponse, server_streaming=True, payload_bytes=344"
3,False,,FirstFrameTimeout: 15.0 seconds,15022.120600100607,0,0,2026-06-25 21:42:21.922,2026-06-25 21:42:36.944,17,3,Body #3,"target=47.94.77.104:8097, method_path=/com.tcl.xr.service.AskAiService/chat, request=com.tcl.xr.message.AskAiRequest, response=com.tcl.xr.message.AskAiResponse, server_streaming=True, payload_bytes=310"
4,False,,FirstFrameTimeout: 15.0 seconds,15015.453499974683,0,0,2026-06-25 21:42:23.034,2026-06-25 21:42:38.049,18,4,Body #4,"target=47.94.77.104:8097, method_path=/com.tcl.xr.service.AskAiService/chat, request=com.tcl.xr.message.AskAiRequest, response=com.tcl.xr.message.AskAiResponse, server_streaming=True, payload_bytes=353"
5,False,,FirstFrameTimeout: 15.0 seconds,15018.103000009432,0,0,2026-06-25 21:42:24.146,2026-06-25 21:42:39.163,19,5,Body #5,"target=47.94.77.104:8097, method_path=/com.tcl.xr.service.AskAiService/chat, request=com.tcl.xr.message.AskAiRequest, response=com.tcl.xr.message.AskAiResponse, server_streaming=True, payload_bytes=420"
6,False,,FirstFrameTimeout: 15.0 seconds,15021.904699970037,0,0,2026-06-25 21:42:25.258,2026-06-25 21:42:40.279,20,6,Body #6,"target=47.94.77.104:8097, method_path=/com.tcl.xr.service.AskAiService/chat, request=com.tcl.xr.message.AskAiRequest, response=com.tcl.xr.message.AskAiResponse, server_streaming=True, payload_bytes=390"
7,False,,FirstFrameTimeout: 15.0 seconds,15016.40750002116,0,0,2026-06-25 21:42:26.369,2026-06-25 21:42:41.385,21,7,Body #7,"target=47.94.77.104:8097, method_path=/com.tcl.xr.service.AskAiService/chat, request=com.tcl.xr.message.AskAiRequest, response=com.tcl.xr.message.AskAiResponse, server_streaming=True, payload_bytes=354"
8,False,,FirstFrameTimeout: 15.0 seconds,15025.34110005945,0,0,2026-06-25 21:42:27.481,2026-06-25 21:42:42.507,22,8,Body #8,"target=47.94.77.104:8097, method_path=/com.tcl.xr.service.AskAiService/chat, request=com.tcl.xr.message.AskAiRequest, response=com.tcl.xr.message.AskAiResponse, server_streaming=True, payload_bytes=298"
9,False,,FirstFrameTimeout: 15.0 seconds,15014.05379991047,0,0,2026-06-25 21:42:28.593,2026-06-25 21:42:43.607,23,9,Body #9,"target=47.94.77.104:8097, method_path=/com.tcl.xr.service.AskAiService/chat, request=com.tcl.xr.message.AskAiRequest, response=com.tcl.xr.message.AskAiResponse, server_streaming=True, payload_bytes=303"
10,False,,FirstFrameTimeout: 15.0 seconds,15022.256500087678,0,0,2026-06-25 21:42:29.705,2026-06-25 21:42:44.728,25,10,Body #10,"target=47.94.77.104:8097, method_path=/com.tcl.xr.service.AskAiService/chat, request=com.tcl.xr.message.AskAiRequest, response=com.tcl.xr.message.AskAiResponse, server_streaming=True, payload_bytes=294"
