request_id,success,status_code,error,latency_ms,first_frame_latency_ms,response_bytes,start_time,end_time,relative_end_second,body_template_index,body_template_label,debug_info
1,True,200,,435.2170000784099,435.2170000784099,473,2026-06-25 21:19:01.770,2026-06-25 21:19:02.208,0,1,Body #1,
2,True,200,,484.08580012619495,484.08580012619495,473,2026-06-25 21:19:02.208,2026-06-25 21:19:02.692,0,2,Body #2,
3,True,200,,460.8628998976201,460.8628998976201,473,2026-06-25 21:19:02.300,2026-06-25 21:19:02.761,0,3,Body #3,
4,True,200,,475.68119992502034,475.68119992502034,473,2026-06-25 21:19:02.693,2026-06-25 21:19:03.168,1,4,Body #4,
5,True,200,,472.6001999806613,472.6001999806613,473,2026-06-25 21:19:02.761,2026-06-25 21:19:03.234,1,5,Body #5,
6,True,200,,703.0450999736786,703.0450999736786,473,2026-06-25 21:19:02.828,2026-06-25 21:19:03.532,1,6,Body #6,
7,True,200,,457.32760010287166,457.32760010287166,469,2026-06-25 21:19:03.168,2026-06-25 21:19:03.626,1,7,Body #7,
8,True,200,,452.94520002789795,452.94520002789795,473,2026-06-25 21:19:03.234,2026-06-25 21:19:03.687,1,8,Body #8,
9,True,200,,419.98949996195734,419.98949996195734,473,2026-06-25 21:19:03.355,2026-06-25 21:19:03.775,2,9,Body #9,
10,True,200,,546.1947000585496,546.1947000585496,473,2026-06-25 21:19:03.532,2026-06-25 21:19:04.078,2,10,Body #10,
11,True,200,,490.4334999155253,490.4334999155253,473,2026-06-25 21:19:03.626,2026-06-25 21:19:04.116,2,1,Body #1,
12,True,200,,434.5240998081863,434.5240998081863,473,2026-06-25 21:19:03.687,2026-06-25 21:19:04.122,2,2,Body #2,
13,True,200,,500.4518998321146,500.4518998321146,473,2026-06-25 21:19:03.775,2026-06-25 21:19:04.276,2,3,Body #3,
14,True,200,,500.25929999537766,500.25929999537766,473,2026-06-25 21:19:03.882,2026-06-25 21:19:04.383,2,4,Body #4,
15,True,200,,489.1879998613149,489.1879998613149,473,2026-06-25 21:19:04.078,2026-06-25 21:19:04.567,2,5,Body #5,
17,True,200,,458.0462002195418,458.0462002195418,469,2026-06-25 21:19:04.122,2026-06-25 21:19:04.580,2,7,Body #7,
16,True,200,,487.872599856928,487.872599856928,473,2026-06-25 21:19:04.117,2026-06-25 21:19:04.604,2,6,Body #6,
18,True,200,,447.6833001244813,447.6833001244813,473,2026-06-25 21:19:04.276,2026-06-25 21:19:04.724,2,8,Body #8,
19,True,200,,487.75279987603426,487.75279987603426,473,2026-06-25 21:19:04.383,2026-06-25 21:19:04.871,3,9,Body #9,
20,True,200,,474.8570001684129,474.8570001684129,473,2026-06-25 21:19:04.410,2026-06-25 21:19:04.885,3,10,Body #10,
21,True,200,,462.70699985325336,462.70699985325336,473,2026-06-25 21:19:04.568,2026-06-25 21:19:05.030,3,1,Body #1,
24,True,200,,421.3841001037508,421.3841001037508,473,2026-06-25 21:19:04.724,2026-06-25 21:19:05.146,3,4,Body #4,
22,True,200,,571.1926000658423,571.1926000658423,473,2026-06-25 21:19:04.581,2026-06-25 21:19:05.151,3,2,Body #2,
23,True,200,,547.454799991101,547.454799991101,473,2026-06-25 21:19:04.605,2026-06-25 21:19:05.152,3,3,Body #3,
25,True,200,,424.0880999714136,424.0880999714136,473,2026-06-25 21:19:04.871,2026-06-25 21:19:05.295,3,5,Body #5,
26,True,200,,465.7389000058174,465.7389000058174,473,2026-06-25 21:19:04.885,2026-06-25 21:19:05.351,3,6,Body #6,
27,True,200,,428.52630000561476,428.52630000561476,469,2026-06-25 21:19:04.937,2026-06-25 21:19:05.366,3,7,Body #7,
28,True,200,,491.57040007412434,491.57040007412434,473,2026-06-25 21:19:05.030,2026-06-25 21:19:05.522,3,8,Body #8,
31,True,200,,456.55580004677176,456.55580004677176,473,2026-06-25 21:19:05.152,2026-06-25 21:19:05.609,3,1,Body #1,
