request_id,success,status_code,error,latency_ms,first_frame_latency_ms,response_bytes,start_time,end_time,relative_end_second,body_template_index,body_template_label,debug_info
1,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",491.51069996878505,491.51069996878505,63,2026-06-25 21:24:58.609,2026-06-25 21:24:59.101,0,1,Body #1,
3,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",419.967700028792,419.967700028792,63,2026-06-25 21:24:59.137,2026-06-25 21:24:59.557,0,3,Body #3,
4,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",509.210400050506,509.210400050506,63,2026-06-25 21:24:59.557,2026-06-25 21:25:00.066,1,4,Body #4,
5,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",643.6360001098365,643.6360001098365,63,2026-06-25 21:24:59.664,2026-06-25 21:25:00.308,1,5,Body #5,
6,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",505.54669997654855,505.54669997654855,63,2026-06-25 21:25:00.066,2026-06-25 21:25:00.572,1,6,Body #6,
2,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",1627.5937999598682,1627.5937999598682,63,2026-06-25 21:24:59.101,2026-06-25 21:25:00.729,2,2,Body #2,
7,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",541.3422000128776,541.3422000128776,63,2026-06-25 21:25:00.191,2026-06-25 21:25:00.733,2,7,Body #7,
8,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",661.6674999240786,661.6674999240786,63,2026-06-25 21:25:00.308,2026-06-25 21:25:00.970,2,8,Body #8,
9,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",562.2001001611352,562.2001001611352,63,2026-06-25 21:25:00.572,2026-06-25 21:25:01.134,2,9,Body #9,
12,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",461.9831000454724,461.9831000454724,63,2026-06-25 21:25:00.733,2026-06-25 21:25:01.195,2,1,Body #1,
10,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",515.705700032413,515.705700032413,63,2026-06-25 21:25:00.719,2026-06-25 21:25:01.235,2,10,Body #10,
11,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",545.7627000287175,545.7627000287175,63,2026-06-25 21:25:00.729,2026-06-25 21:25:01.275,2,11,Body #11,
14,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",436.3484000787139,436.3484000787139,63,2026-06-25 21:25:01.135,2026-06-25 21:25:01.571,2,3,Body #3,
13,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",672.0096000935882,672.0096000935882,63,2026-06-25 21:25:00.970,2026-06-25 21:25:01.642,3,2,Body #2,
17,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",481.16780002601445,481.16780002601445,63,2026-06-25 21:25:01.246,2026-06-25 21:25:01.727,3,6,Body #6,
15,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",565.1836001779884,565.1836001779884,63,2026-06-25 21:25:01.195,2026-06-25 21:25:01.761,3,4,Body #4,
16,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",605.4153998848051,605.4153998848051,63,2026-06-25 21:25:01.235,2026-06-25 21:25:01.840,3,5,Body #5,
18,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",572.9062999598682,572.9062999598682,63,2026-06-25 21:25:01.275,2026-06-25 21:25:01.848,3,7,Body #7,
19,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",594.5154000073671,594.5154000073671,63,2026-06-25 21:25:01.572,2026-06-25 21:25:02.166,3,8,Body #8,
20,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",524.6069000568241,524.6069000568241,63,2026-06-25 21:25:01.642,2026-06-25 21:25:02.167,3,9,Body #9,
21,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",506.8711000494659,506.8711000494659,63,2026-06-25 21:25:01.727,2026-06-25 21:25:02.235,3,10,Body #10,
25,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",414.2303999979049,414.2303999979049,63,2026-06-25 21:25:01.848,2026-06-25 21:25:02.262,3,3,Body #3,
23,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",490.4332000296563,490.4332000296563,63,2026-06-25 21:25:01.773,2026-06-25 21:25:02.264,3,1,Body #1,
22,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",529.6676999423653,529.6676999423653,63,2026-06-25 21:25:01.761,2026-06-25 21:25:02.291,3,11,Body #11,
24,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",629.4251999352127,629.4251999352127,63,2026-06-25 21:25:01.841,2026-06-25 21:25:02.470,3,2,Body #2,
26,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",530.4988999851048,530.4988999851048,63,2026-06-25 21:25:02.166,2026-06-25 21:25:02.696,4,4,Body #4,
28,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",509.1126998886466,509.1126998886466,63,2026-06-25 21:25:02.235,2026-06-25 21:25:02.744,4,6,Body #6,
