request_id,success,status_code,error,latency_ms,first_frame_latency_ms,response_bytes,start_time,end_time,relative_end_second,body_template_index,body_template_label,debug_info
1,True,200,,433.81309998221695,433.81309998221695,473,2026-06-25 20:40:20.346,2026-06-25 20:40:20.780,0,6,Body #6,
2,True,200,,469.7330000344664,469.7330000344664,469,2026-06-25 20:40:20.781,2026-06-25 20:40:21.250,0,7,Body #7,
3,True,200,,417.8787001874298,417.8787001874298,469,2026-06-25 20:40:20.903,2026-06-25 20:40:21.321,0,7,Body #7,
4,True,200,,549.7539998032153,549.7539998032153,473,2026-06-25 20:40:21.250,2026-06-25 20:40:21.800,1,6,Body #6,
5,True,200,,494.20369998551905,494.20369998551905,473,2026-06-25 20:40:21.321,2026-06-25 20:40:21.816,1,4,Body #4,
6,True,200,,501.1901999823749,501.1901999823749,473,2026-06-25 20:40:21.459,2026-06-25 20:40:21.961,1,9,Body #9,
7,True,200,,445.8137999754399,445.8137999754399,473,2026-06-25 20:40:21.800,2026-06-25 20:40:22.246,1,9,Body #9,
8,True,200,,469.5637000259012,469.5637000259012,473,2026-06-25 20:40:21.816,2026-06-25 20:40:22.285,1,8,Body #8,
9,True,200,,494.9179000686854,494.9179000686854,473,2026-06-25 20:40:21.961,2026-06-25 20:40:22.456,2,5,Body #5,
10,True,200,,445.99290005862713,445.99290005862713,473,2026-06-25 20:40:22.016,2026-06-25 20:40:22.462,2,2,Body #2,
11,True,200,,462.2730000410229,462.2730000410229,473,2026-06-25 20:40:22.247,2026-06-25 20:40:22.709,2,10,Body #10,
12,True,200,,466.60659997723997,466.60659997723997,473,2026-06-25 20:40:22.286,2026-06-25 20:40:22.752,2,9,Body #9,
13,True,200,,421.1780000478029,421.1780000478029,473,2026-06-25 20:40:22.456,2026-06-25 20:40:22.877,2,10,Body #10,
14,True,200,,434.3737999442965,434.3737999442965,473,2026-06-25 20:40:22.462,2026-06-25 20:40:22.896,2,3,Body #3,
15,True,200,,443.6498999129981,443.6498999129981,473,2026-06-25 20:40:22.572,2026-06-25 20:40:23.016,2,1,Body #1,
16,True,200,,455.99170005880296,455.99170005880296,473,2026-06-25 20:40:22.709,2026-06-25 20:40:23.165,2,10,Body #10,
17,True,200,,443.0609999690205,443.0609999690205,473,2026-06-25 20:40:22.752,2026-06-25 20:40:23.196,2,2,Body #2,
18,True,200,,499.0409000311047,499.0409000311047,473,2026-06-25 20:40:22.878,2026-06-25 20:40:23.377,3,8,Body #8,
19,True,200,,480.65169993788004,480.65169993788004,473,2026-06-25 20:40:22.897,2026-06-25 20:40:23.377,3,6,Body #6,
20,True,200,,472.6750000845641,472.6750000845641,469,2026-06-25 20:40:23.016,2026-06-25 20:40:23.489,3,7,Body #7,
22,True,200,,459.56919994205236,459.56919994205236,473,2026-06-25 20:40:23.165,2026-06-25 20:40:23.625,3,4,Body #4,
21,True,200,,546.4834000449628,546.4834000449628,473,2026-06-25 20:40:23.128,2026-06-25 20:40:23.675,3,5,Body #5,
23,True,200,,499.6034000068903,499.6034000068903,473,2026-06-25 20:40:23.196,2026-06-25 20:40:23.696,3,8,Body #8,
25,True,200,,476.9208999350667,476.9208999350667,473,2026-06-25 20:40:23.377,2026-06-25 20:40:23.854,3,3,Body #3,
24,True,200,,494.07620006240904,494.07620006240904,473,2026-06-25 20:40:23.377,2026-06-25 20:40:23.871,3,1,Body #1,
26,True,200,,445.5001999158412,445.5001999158412,473,2026-06-25 20:40:23.489,2026-06-25 20:40:23.935,3,5,Body #5,
27,True,200,,456.2999999616295,456.2999999616295,473,2026-06-25 20:40:23.625,2026-06-25 20:40:24.082,3,1,Body #1,
28,True,200,,424.35449990443885,424.35449990443885,473,2026-06-25 20:40:23.675,2026-06-25 20:40:24.099,3,2,Body #2,
29,True,200,,425.3783000167459,425.3783000167459,473,2026-06-25 20:40:23.685,2026-06-25 20:40:24.110,3,5,Body #5,
30,True,200,,426.6143999993801,426.6143999993801,473,2026-06-25 20:40:23.696,2026-06-25 20:40:24.123,3,4,Body #4,
32,True,200,,432.64220003038645,432.64220003038645,473,2026-06-25 20:40:23.871,2026-06-25 20:40:24.304,3,8,Body #8,
31,True,200,,483.8348999619484,483.8348999619484,473,2026-06-25 20:40:23.855,2026-06-25 20:40:24.339,3,1,Body #1,
33,True,200,,437.96370015479624,437.96370015479624,473,2026-06-25 20:40:23.935,2026-06-25 20:40:24.373,4,8,Body #8,
34,True,200,,585.5946999508888,585.5946999508888,473,2026-06-25 20:40:24.082,2026-06-25 20:40:24.668,4,4,Body #4,
35,True,200,,598.8157000392675,598.8157000392675,473,2026-06-25 20:40:24.100,2026-06-25 20:40:24.699,4,4,Body #4,
37,True,200,,610.502699855715,610.502699855715,473,2026-06-25 20:40:24.123,2026-06-25 20:40:24.733,4,8,Body #8,
36,True,200,,623.0931000318378,623.0931000318378,473,2026-06-25 20:40:24.111,2026-06-25 20:40:24.734,4,10,Body #10,
38,True,200,,512.1131998021156,512.1131998021156,473,2026-06-25 20:40:24.241,2026-06-25 20:40:24.754,4,10,Body #10,
39,True,200,,450.22900006733835,450.22900006733835,473,2026-06-25 20:40:24.305,2026-06-25 20:40:24.755,4,4,Body #4,
40,True,200,,423.5835000872612,423.5835000872612,473,2026-06-25 20:40:24.339,2026-06-25 20:40:24.762,4,10,Body #10,
41,True,200,,423.6786998808384,423.6786998808384,473,2026-06-25 20:40:24.373,2026-06-25 20:40:24.797,4,3,Body #3,
42,True,200,,409.7259999252856,409.7259999252856,473,2026-06-25 20:40:24.668,2026-06-25 20:40:25.078,4,2,Body #2,
43,True,200,,434.57049992866814,434.57049992866814,473,2026-06-25 20:40:24.699,2026-06-25 20:40:25.134,4,6,Body #6,
46,True,200,,432.60829988867044,432.60829988867044,473,2026-06-25 20:40:24.754,2026-06-25 20:40:25.187,4,6,Body #6,
45,True,200,,459.85900005325675,459.85900005325675,469,2026-06-25 20:40:24.734,2026-06-25 20:40:25.194,4,7,Body #7,
47,True,200,,463.02369982004166,463.02369982004166,473,2026-06-25 20:40:24.756,2026-06-25 20:40:25.219,4,2,Body #2,
49,True,200,,429.30219997651875,429.30219997651875,473,2026-06-25 20:40:24.797,2026-06-25 20:40:25.227,4,1,Body #1,
44,True,200,,518.4168999549001,518.4168999549001,473,2026-06-25 20:40:24.733,2026-06-25 20:40:25.252,4,5,Body #5,
48,True,200,,496.24840007163584,496.24840007163584,473,2026-06-25 20:40:24.763,2026-06-25 20:40:25.259,4,4,Body #4,
50,True,200,,500.09949994273484,500.09949994273484,473,2026-06-25 20:40:24.798,2026-06-25 20:40:25.298,4,9,Body #9,
51,True,200,,426.8066000659019,426.8066000659019,473,2026-06-25 20:40:25.079,2026-06-25 20:40:25.505,5,6,Body #6,
52,True,200,,433.8595001026988,433.8595001026988,473,2026-06-25 20:40:25.134,2026-06-25 20:40:25.568,5,9,Body #9,
53,True,200,,423.0899999383837,423.0899999383837,473,2026-06-25 20:40:25.187,2026-06-25 20:40:25.610,5,3,Body #3,
56,True,200,,432.1363000199199,432.1363000199199,473,2026-06-25 20:40:25.227,2026-06-25 20:40:25.659,5,3,Body #3,
57,True,200,,418.07800019159913,418.07800019159913,473,2026-06-25 20:40:25.253,2026-06-25 20:40:25.670,5,2,Body #2,
55,True,200,,479.66729989275336,479.66729989275336,473,2026-06-25 20:40:25.219,2026-06-25 20:40:25.699,5,2,Body #2,
58,True,200,,444.7087999433279,444.7087999433279,473,2026-06-25 20:40:25.260,2026-06-25 20:40:25.704,5,9,Body #9,
54,True,200,,519.073799951002,519.073799951002,473,2026-06-25 20:40:25.195,2026-06-25 20:40:25.714,5,9,Body #9,
59,True,200,,425.0070999842137,425.0070999842137,473,2026-06-25 20:40:25.299,2026-06-25 20:40:25.724,5,6,Body #6,
60,True,200,,420.5569999758154,420.5569999758154,473,2026-06-25 20:40:25.354,2026-06-25 20:40:25.775,5,6,Body #6,
62,True,200,,417.60729998350143,417.60729998350143,473,2026-06-25 20:40:25.568,2026-06-25 20:40:25.986,5,3,Body #3,
61,True,200,,499.9201998580247,499.9201998580247,473,2026-06-25 20:40:25.505,2026-06-25 20:40:26.005,5,1,Body #1,
63,True,200,,429.1101999115199,429.1101999115199,473,2026-06-25 20:40:25.611,2026-06-25 20:40:26.040,5,1,Body #1,
64,True,200,,451.71579997986555,451.71579997986555,473,2026-06-25 20:40:25.660,2026-06-25 20:40:26.112,5,10,Body #10,
65,True,200,,447.1241000574082,447.1241000574082,473,2026-06-25 20:40:25.671,2026-06-25 20:40:26.118,5,1,Body #1,
66,True,200,,460.4299000930041,460.4299000930041,473,2026-06-25 20:40:25.699,2026-06-25 20:40:26.159,5,1,Body #1,
67,True,200,,458.94619985483587,458.94619985483587,473,2026-06-25 20:40:25.705,2026-06-25 20:40:26.164,5,3,Body #3,
69,True,200,,440.2486002072692,440.2486002072692,473,2026-06-25 20:40:25.724,2026-06-25 20:40:26.165,5,3,Body #3,
70,True,200,,511.16160000674427,511.16160000674427,473,2026-06-25 20:40:25.775,2026-06-25 20:40:26.287,5,8,Body #8,
68,True,200,,573.5679999925196,573.5679999925196,469,2026-06-25 20:40:25.714,2026-06-25 20:40:26.288,5,7,Body #7,
72,True,200,,481.18959995917976,481.18959995917976,473,2026-06-25 20:40:26.006,2026-06-25 20:40:26.487,6,1,Body #1,
71,True,200,,516.5766000282019,516.5766000282019,473,2026-06-25 20:40:25.987,2026-06-25 20:40:26.503,6,4,Body #4,
74,True,200,,477.29970002546906,477.29970002546906,473,2026-06-25 20:40:26.112,2026-06-25 20:40:26.590,6,4,Body #4,
73,True,200,,561.2377000506967,561.2377000506967,473,2026-06-25 20:40:26.040,2026-06-25 20:40:26.602,6,3,Body #3,
75,True,200,,528.1607999932021,528.1607999932021,473,2026-06-25 20:40:26.119,2026-06-25 20:40:26.647,6,1,Body #1,
76,True,200,,503.59810004010797,503.59810004010797,473,2026-06-25 20:40:26.160,2026-06-25 20:40:26.664,6,8,Body #8,
77,True,200,,511.68190012685955,511.68190012685955,473,2026-06-25 20:40:26.165,2026-06-25 20:40:26.676,6,4,Body #4,
78,True,200,,535.0878001190722,535.0878001190722,469,2026-06-25 20:40:26.165,2026-06-25 20:40:26.700,6,7,Body #7,
79,True,200,,501.3021999038756,501.3021999038756,473,2026-06-25 20:40:26.288,2026-06-25 20:40:26.789,6,9,Body #9,
80,True,200,,513.3504001423717,513.3504001423717,473,2026-06-25 20:40:26.288,2026-06-25 20:40:26.801,6,2,Body #2,
82,True,200,,422.1803001128137,422.1803001128137,473,2026-06-25 20:40:26.504,2026-06-25 20:40:26.926,6,2,Body #2,
81,True,200,,468.3558000251651,468.3558000251651,473,2026-06-25 20:40:26.488,2026-06-25 20:40:26.956,6,1,Body #1,
84,True,200,,410.6342000886798,410.6342000886798,473,2026-06-25 20:40:26.602,2026-06-25 20:40:27.013,6,4,Body #4,
83,True,200,,428.09739988297224,428.09739988297224,473,2026-06-25 20:40:26.590,2026-06-25 20:40:27.018,6,9,Body #9,
86,True,200,,434.9850001744926,434.9850001744926,473,2026-06-25 20:40:26.664,2026-06-25 20:40:27.099,6,1,Body #1,
87,True,200,,430.92490010894835,430.92490010894835,473,2026-06-25 20:40:26.676,2026-06-25 20:40:27.108,6,3,Body #3,
85,True,200,,465.32690012827516,465.32690012827516,473,2026-06-25 20:40:26.647,2026-06-25 20:40:27.113,6,6,Body #6,
88,True,200,,510.2731001097709,510.2731001097709,469,2026-06-25 20:40:26.700,2026-06-25 20:40:27.211,6,7,Body #7,
89,True,200,,432.5735999736935,432.5735999736935,473,2026-06-25 20:40:26.790,2026-06-25 20:40:27.222,6,3,Body #3,
90,True,200,,481.9078999571502,481.9078999571502,473,2026-06-25 20:40:26.802,2026-06-25 20:40:27.284,6,2,Body #2,
91,True,200,,451.64540014229715,451.64540014229715,473,2026-06-25 20:40:26.927,2026-06-25 20:40:27.378,7,10,Body #10,
92,True,200,,442.35140015371144,442.35140015371144,473,2026-06-25 20:40:26.957,2026-06-25 20:40:27.399,7,3,Body #3,
93,True,200,,421.9452999532223,421.9452999532223,473,2026-06-25 20:40:27.013,2026-06-25 20:40:27.435,7,2,Body #2,
94,True,200,,418.8577001914382,418.8577001914382,473,2026-06-25 20:40:27.019,2026-06-25 20:40:27.438,7,3,Body #3,
96,True,200,,392.4068999476731,392.4068999476731,473,2026-06-25 20:40:27.108,2026-06-25 20:40:27.501,7,9,Body #9,
